model,experiment_label,time_label,accuracy,precision,recall,f1,roc_auc,n_features,n_rows,cv_best_roc_auc,hidden_dims,dropout,activation,optimizer,learning_rate,weight_decay,decision_threshold,threshold_metric,threshold_val_score,epochs_run,best_epoch,best_val_loss,device
SoftVotingEnsemble,threshold,10minute,0.7455509276789095,0.7516415604480494,0.7351718927087268,0.7433155080213903,0.8239973791532285,,,,,,,,,,0.5,fixed_0.5,,,,,
SoftVotingEnsemble,threshold,15minute,0.8099496925656792,0.8128523111612176,0.8055865921787709,0.8092031425364759,0.8970561728163619,,,,,,,,,,0.5,fixed_0.5,,,,,
MLP,baseline,10minute,0.746308216584627,0.7457690861226025,0.7491499811106913,0.7474557105163966,0.8217855737295954,91.0,26409.0,,64-32-16,0.2,relu,AdamW,0.001,0.0001,,,,15.0,11.0,0.5225970149040222,cpu
MLP,threshold,10minute,0.748769405528209,0.7761506276150628,0.7007933509633547,0.7365495334524519,0.8217855737295954,91.0,26409.0,,64-32-16,0.2,relu,AdamW,0.001,0.0001,0.5400000000000003,accuracy,0.738801261829653,15.0,11.0,0.5225970149040222,cpu
MLP,baseline,15minute,0.8073411589342276,0.812570995834911,0.7992551210428306,0.8058580548253849,0.8956573723436608,91.0,26834.0,,64-32-16,0.2,relu,AdamW,0.001,0.0001,,,,15.0,6.0,0.43045175075531,cpu
MLP,threshold,15minute,0.8067821874417738,0.7974729241877256,0.8227188081936685,0.8098991750687443,0.8956573723436608,91.0,26834.0,,64-32-16,0.2,relu,AdamW,0.001,0.0001,0.4700000000000001,accuracy,0.7935423781434338,15.0,6.0,0.43045175075531,cpu
XGBoost,baseline,10minute,0.7489587277546383,0.7597325992921746,0.7298828862863619,0.7445086705202312,0.8234915614612224,91.0,26409.0,,,,,,,,,,,,,,
XGBoost,threshold,10minute,0.7491480499810678,0.7631369426751592,0.724216093690971,0.7431672804807133,0.8233099803651551,91.0,26409.0,,,,,,,,0.5100000000000002,accuracy,0.7406940063091483,,,,
XGBoost,baseline,15minute,0.8093907210732253,0.8086924219910847,0.8108007448789571,0.8097452110842477,0.8956880618010684,91.0,26834.0,,,,,,,,,,,,,,
XGBoost,threshold,15minute,0.8092043972424073,0.8286505738029284,0.7798882681564245,0.8035303146584805,0.8959787090153406,91.0,26834.0,,,,,,,,0.5450000000000002,accuracy,0.7963365414467557,,,,
