feature,importance
diff_kill,0.23773056
diff_totalGolds,0.20797737
diff_totalLevel,0.058644287
diff_avgLevel,0.03468251
diff_dragon,0.024824606
blueDragon,0.022719149
redFirstDragon,0.019299004
blueTotalGolds,0.018691095
diff_objectiveScore,0.018276723
blueKDA,0.014377729
blueDragonType_WATER_DRAGON,0.013328327
redDragon,0.013318782
redObjectiveScore,0.013304486
blueFirstDragon,0.011916052
diff_topTowerKills,0.011914345
diff_KDA,0.011444479
redKDA,0.010783061
diff_totalMinionKills,0.010016028
blueFirstTower,0.010008837
redTotalGolds,0.009826834
redTotalLevel,0.009789038
blueKill,0.009610827
blueObjectiveScore,0.009495602
redDragonType_WATER_DRAGON,0.009184647
blueDragonType_AIR_DRAGON,0.008912238
diff_assist,0.008341204
blueWardKills,0.0082636
blueTowerKills,0.008072226
redAssist,0.008009577
blueTotalMinionKills,0.008009096
redTotalJungleMinionKills,0.008008855
redWardPlaced,0.00799453
blueTotalJungleMinionKills,0.007839411
diff_firstDragon,0.0077732685
diff_wardPlaced,0.007766472
diff_totalJungleMinionKills,0.0075202016
redFirstTower,0.0074060527
redKill,0.007389841
blueAssist,0.0072103078
blueDragonType_FIRE_DRAGON,0.0069935652
blueTopTowerKills,0.0069099474
diff_currentGolds,0.0068820687
redTopTowerKills,0.0067058923
blueWardPlaced,0.0058344165
redCurrentGolds,0.005701193
redWardKills,0.005583833
redDragonType_FIRE_DRAGON,0.005529776
blueCurrentGolds,0.004990346
redTotalMinionKills,0.0049645463
diff_goldPerMinion,0.0049049165
redGoldPerMinion,0.0043013026
redFirstTowerLane_BOT_LANE,0.0010168919
blueAvgLevel,0.0
blueTotalLevel,0.0
blueInhibitor,0.0
blueFirstInhibitor,0.0
blueMidTowerKills,0.0
blueFirstBlood,0.0
blueDeath,0.0
redAvgLevel,0.0
blueRiftHeralds,0.0
blueBotTowerKills,0.0
diff_firstInhibitor,0.0
diff_death,0.0
diff_firstBlood,0.0
diff_firstTower,0.0
diff_wardKills,0.0
redMidTowerKills,0.0
redDeath,0.0
redFirstBlood,0.0
redFirstInhibitor,0.0
redInhibitor,0.0
redTowerKills,0.0
redRiftHeralds,0.0
redBotTowerKills,0.0
diff_towerKills,0.0
blueGoldPerMinion,0.0
diff_midTowerKills,0.0
diff_riftHeralds,0.0
diff_inhibitor,0.0
diff_botTowerKills,0.0
blueFirstTowerLane_MID_LANE,0.0
blueFirstTowerLane_BOT_LANE,0.0
blueDragonType_EARTH_DRAGON,0.0
redFirstTowerLane_TOP_LANE,0.0
redFirstTowerLane_MID_LANE,0.0
blueFirstTowerLane_TOP_LANE,0.0
redDragonType_AIR_DRAGON,0.0
blueDragonType_ELDER_DRAGON,0.0
redDragonType_ELDER_DRAGON,0.0
redDragonType_EARTH_DRAGON,0.0
