feature,importance
diff_kill,0.28641146
diff_totalGolds,0.17154771
diff_totalLevel,0.051046204
diff_avgLevel,0.051008515
redFirstDragon,0.022177694
blueDragon,0.021209398
diff_objectiveScore,0.019621864
redDragon,0.019013934
diff_dragon,0.01852748
blueKDA,0.01472591
redObjectiveScore,0.012825448
blueTotalGolds,0.012722731
diff_death,0.0124957375
blueFirstDragon,0.011673991
diff_KDA,0.011118626
redKDA,0.010460842
blueDragonType_WATER_DRAGON,0.009600976
blueDeath,0.009404926
redTotalMinionKills,0.009338828
diff_totalMinionKills,0.009185415
blueObjectiveScore,0.008906503
diff_totalJungleMinionKills,0.008902665
redTotalGolds,0.008679979
redCurrentGolds,0.008516887
diff_midTowerKills,0.008269236
blueTotalMinionKills,0.007900941
blueTotalLevel,0.007864053
blueTopTowerKills,0.007736335
redTotalJungleMinionKills,0.0074952925
redDragonType_FIRE_DRAGON,0.0073636603
redAssist,0.007327962
redDragonType_WATER_DRAGON,0.0070471284
blueDragonType_FIRE_DRAGON,0.0069570816
blueTotalJungleMinionKills,0.0069206706
blueGoldPerMinion,0.0068933684
diff_currentGolds,0.006811096
blueCurrentGolds,0.0068063936
blueWardPlaced,0.006736309
redTotalLevel,0.006684292
diff_wardKills,0.006628597
diff_topTowerKills,0.006302582
blueKill,0.0062752934
diff_goldPerMinion,0.0061977627
blueAssist,0.0061502415
redFirstTowerLane_BOT_LANE,0.005930226
diff_wardPlaced,0.0058492236
redWardPlaced,0.0053191283
blueWardKills,0.005074107
diff_assist,0.004897615
redFirstInhibitor,0.004815201
redGoldPerMinion,0.004671672
redWardKills,0.0039507644
redFirstTowerLane_MID_LANE,0.0
redTopTowerKills,0.0
redMidTowerKills,0.0
blueFirstBlood,0.0
blueFirstTowerLane_BOT_LANE,0.0
blueFirstTowerLane_MID_LANE,0.0
blueFirstTowerLane_TOP_LANE,0.0
redTowerKills,0.0
redAvgLevel,0.0
redBotTowerKills,0.0
blueDragonType_AIR_DRAGON,0.0
blueDragonType_EARTH_DRAGON,0.0
blueDragonType_ELDER_DRAGON,0.0
redFirstTower,0.0
redDragonType_AIR_DRAGON,0.0
redDragonType_EARTH_DRAGON,0.0
redDragonType_ELDER_DRAGON,0.0
blueAvgLevel,0.0
redFirstTowerLane_TOP_LANE,0.0
redInhibitor,0.0
blueRiftHeralds,0.0
diff_firstInhibitor,0.0
blueInhibitor,0.0
diff_firstBlood,0.0
blueBotTowerKills,0.0
blueMidTowerKills,0.0
redFirstBlood,0.0
redRiftHeralds,0.0
diff_firstTower,0.0
diff_towerKills,0.0
redDeath,0.0
blueTowerKills,0.0
redKill,0.0
diff_inhibitor,0.0
diff_firstDragon,0.0
blueFirstInhibitor,0.0
diff_riftHeralds,0.0
blueFirstTower,0.0
diff_botTowerKills,0.0
